,gene,num_sig_phases,max_diff
3822,LAbrini_11725,2,0.11163729249999998
237,LAbrini_05045,2,0.11159992599999999
2596,LAbrini_03270,2,0.111599112
569,LAbrini_01500,2,0.11156329000000004
1396,LAbrini_05005,2,0.11153439449999997
3369,LAbrini_11320,2,0.11150803750000005
1400,LAbrini_07910,2,0.111429947
3580,LAbrini_06500,2,0.11117356900000003
3318,LAbrini_20035,2,0.11098400249999996
1537,LAbrini_16500,2,0.11076921450000005
3690,LAbrini_18770,2,0.11067637250000004
3157,LAbrini_01940,2,0.11046663000000001
245,LAbrini_18300,2,0.1103802075
3406,LAbrini_14215,2,0.11032405050000005
186,LAbrini_09380,2,0.10998930750000002
453,LAbrini_02735,2,0.10996587499999999
1502,LAbrini_06235,2,0.10994313550000001
3320,LAbrini_14495,2,0.10991654099999998
2684,LAbrini_05170,2,0.10970954
1191,LAbrini_06840,2,0.10965277300000004
2980,LAbrini_05325,2,0.10934850149999997
3662,LAbrini_10475,2,0.10926000450000006
520,LAbrini_00780,2,0.10921331849999993
3087,LAbrini_09345,2,0.10917278100000005
3079,LAbrini_16270,2,0.10887789750000004
687,LAbrini_07425,2,0.10876253000000002
2411,LAbrini_01900,2,0.10867276300000003
3035,LAbrini_19990,2,0.1086138475
1434,LAbrini_18640,2,0.10845343900000001
3313,LAbrini_09720,2,0.10824993600000002
2812,LAbrini_03220,2,0.10820505999999996
3156,LAbrini_00795,2,0.10819850250000002
745,LAbrini_10525,2,0.10818885300000003
3793,LAbrini_00905,2,0.10798661499999995
3704,LAbrini_01875,2,0.10785634200000002
3758,LAbrini_09570,2,0.10748457049999999
3074,LAbrini_03520,2,0.1074034325
3494,LAbrini_15045,2,0.10736284749999997
566,LAbrini_09195,2,0.107288626
415,LAbrini_15090,2,0.10727051999999998
1771,LAbrini_06900,2,0.10722765699999998
1168,LAbrini_08530,2,0.10716888749999998
2563,LAbrini_00895,2,0.10695643899999996
2183,LAbrini_06215,2,0.10680002999999999
601,LAbrini_18220,2,0.10657964449999996
1643,LAbrini_05235,2,0.10657272849999999
3132,LAbrini_16760,2,0.1064970545
1056,LAbrini_11050,2,0.1063681045
3040,LAbrini_15005,2,0.10624816250000002
2414,LAbrini_12845,2,0.10622483649999992
2706,LAbrini_12090,2,0.10619975999999998
1231,LAbrini_09275,2,0.10611878599999999
1960,LAbrini_08665,2,0.10607890149999999
3449,LAbrini_14135,2,0.10600654950000002
1220,LAbrini_06075,2,0.10572939449999996
1993,LAbrini_01255,2,0.10566351500000001
1090,LAbrini_09650,2,0.10565448450000003
616,LAbrini_00375,2,0.10557931649999996
2842,LAbrini_19165,2,0.10556852850000004
